model is syntactically correct
data loaded
model compiled
expected the collection operator c error pos 49
initial values generated, model initialized
model is updating
100 updates took 0 s
taub is not a variable in the model
model is updating
4900 updates took 4 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	beta0	3.958	0.3676	3.26	3.958	4.695	4900
	deviance	333.4	1.85	331.5	332.8	338.2	4900
	invlambda[1]	0.04574	0.01332	0.01804	0.04374	0.07899	4900
	invlambda[2]	0.7289	0.02141	0.6849	0.7284	0.7723	4900
	invlambda[3]	0.103	0.02194	0.06372	0.1005	0.1526	4900
	invlambda[4]	0.2244	0.03127	0.1656	0.2219	0.2908	4900
	invlambda[5]	0.1708	0.02818	0.1187	0.1681	0.2316	4900
	invlambda[6]	0.6476	0.02614	0.5946	0.6468	0.7003	4900
	invlambda[7]	0.2838	0.03329	0.2204	0.2814	0.3532	4900
	invlambda[8]	0.06994	0.01749	0.0353	0.06758	0.111	4900
	invlambda[9]	0.7007	0.02315	0.6533	0.7001	0.7475	4900
	invlambda[10]	0.07556	0.01833	0.03964	0.07315	0.1181	4900
	invlambda[11]	0.05135	0.01437	0.02194	0.04924	0.08653	4900
	invlambda[12]	0.3069	0.03375	0.2423	0.3047	0.377	4900
	invlambda[13]	0.4544	0.03333	0.3887	0.4527	0.5221	4900
	invlambda[14]	0.2951	0.03354	0.2311	0.2928	0.3649	4900
	invlambda[15]	0.03494	0.01109	0.01085	0.03313	0.06417	4900
	invlambda[16]	0.8537	0.01254	0.8237	0.8535	0.8824	4900
	invlambda[17]	0.5985	0.02855	0.5406	0.5975	0.6558	4900
	invlambda[18]	0.1113	0.02289	0.07022	0.1088	0.1625	4900
	invlambda[19]	0.08164	0.0192	0.04703	0.07919	0.1258	4900
	invlambda[20]	0.05547	0.01511	0.02473	0.0533	0.0918	4900
	invlambda[21]	0.3192	0.03393	0.2541	0.317	0.3895	4900
	invlambda[22]	0.3069	0.03375	0.2423	0.3047	0.377	4900
	invlambda[23]	0.5985	0.02855	0.5406	0.5975	0.6558	4900
	invlambda[24]	0.7888	0.01738	0.751	0.7884	0.8248	4900
	invlambda[25]	0.4039	0.03406	0.3381	0.402	0.4734	4900
	invlambda[26]	0.3319	0.03407	0.2671	0.3298	0.4024	4900
	invlambda[27]	0.1846	0.02911	0.1305	0.182	0.2471	4900
	invlambda[28]	0.1996	0.03001	0.1436	0.197	0.2639	4900
	invlambda[29]	0.42	0.03389	0.3538	0.4183	0.4889	4900
	invlambda[30]	0.03236	0.01052	0.006866	0.03061	0.06076	4900
	invlambda[31]	0.2158	0.03086	0.1579	0.2133	0.2814	4900
	invlambda[32]	0.1996	0.03001	0.1436	0.197	0.2639	4900
	invlambda[33]	0.1113	0.02289	0.07022	0.1088	0.1625	4900
	invlambda[34]	0.1251	0.02433	0.08121	0.1225	0.1789	4900
	invlambda[35]	0.103	0.02194	0.06372	0.1005	0.1526	4900
	invlambda[36]	0.06228	0.01627	0.02961	0.06001	0.101	4900
	invlambda[37]	0.4916	0.03245	0.4272	0.4901	0.5571	4900
	invlambda[38]	0.9612	0.003533	0.9425	0.9611	0.9797	4900
	invlambda[39]	0.5318	0.03121	0.4696	0.5305	0.5945	4900
	invlambda[40]	0.08487	0.01964	0.04953	0.0824	0.1299	4900
	invlambda[41]	0.05765	0.01549	0.02609	0.05545	0.09471	4900
	invlambda[42]	0.0257	0.00894	0.003001	0.02412	0.05159	4900
	invlambda[43]	0.1157	0.02336	0.07372	0.1132	0.1678	4900
	invlambda[44]	0.1352	0.0253	0.08941	0.1326	0.1906	4900
	invlambda[45]	0.6736	0.02473	0.6232	0.6729	0.7233	4900
	invlambda[46]	0.03236	0.01052	0.006866	0.03061	0.06076	4900
	invlambda[47]	0.06228	0.01627	0.02961	0.06001	0.101	4900
	invlambda[48]	0.4916	0.03245	0.4272	0.4901	0.5571	4900
	invlambda[49]	0.1157	0.02336	0.07372	0.1132	0.1678	4900
	invlambda[50]	0.2524	0.03238	0.191	0.2499	0.3205	4900
	invlambda[51]	0.09171	0.02055	0.05466	0.0892	0.1386	4900
	invlambda[52]	0.03114	0.01024	0.00598	0.0294	0.05901	4900
	invlambda[53]	0.3883	0.03417	0.3226	0.3864	0.4583	4900
	invlambda[54]	0.4369	0.03364	0.3709	0.4352	0.5053	4900
	invlambda[55]	0.1406	0.02578	0.09368	0.1379	0.197	4900
	invlambda[56]	0.1352	0.0253	0.08941	0.1326	0.1906	4900
	invlambda[57]	0.06473	0.01667	0.03113	0.06244	0.1041	4900
	invlambda[58]	0.07854	0.01876	0.04455	0.07612	0.1218	4900
	invlambda[59]	0.03921	0.01201	0.01383	0.03733	0.06999	4900
	invlambda[60]	0.2729	0.03301	0.2103	0.2705	0.3421	4900
	invlambda[61]	0.08164	0.0192	0.04703	0.07919	0.1258	4900
	invlambda[62]	0.1071	0.02241	0.06692	0.1045	0.1577	4900
	invlambda[63]	0.08487	0.01964	0.04953	0.0824	0.1299	4900
	invlambda[64]	0.05337	0.01474	0.0234	0.05122	0.08907	4900
	invlambda[65]	0.3734	0.03422	0.3077	0.3714	0.4435	4900
	invlambda[66]	0.02291	0.008231	9.249E-4	0.02142	0.04809	4900
	invlambda[67]	0.02043	0.007572	-7.978E-4	0.01902	0.04465	4900
	invlambda[68]	0.2624	0.03271	0.2003	0.26	0.331	4900
	invlambda[69]	0.04075	0.01232	0.01482	0.03885	0.07201	4900
	invlambda[70]	0.02291	0.008231	9.249E-4	0.02142	0.04809	4900
	invlambda[71]	0.8881	0.009789	0.863	0.8879	0.9134	4900
	invlambda[72]	0.03921	0.01201	0.01383	0.03733	0.06999	4900
	invlambda[73]	0.2524	0.03238	0.191	0.2499	0.3205	4900
	invlambda[74]	0.03921	0.01201	0.01383	0.03733	0.06999	4900
	invlambda[75]	0.1708	0.02818	0.1187	0.1681	0.2316	4900
	invlambda[76]	0.6476	0.02614	0.5946	0.6468	0.7003	4900
	invlambda[77]	0.158	0.02723	0.1075	0.1553	0.2172	4900
	invlambda[78]	0.2244	0.03127	0.1656	0.2219	0.2908	4900
	invlambda[79]	0.1846	0.02911	0.1305	0.182	0.2471	4900
	invlambda[80]	0.05337	0.01474	0.0234	0.05122	0.08907	4900
	invlambda[81]	0.5985	0.02855	0.5406	0.5975	0.6558	4900
	invlambda[82]	0.05992	0.01588	0.02792	0.0577	0.09785	4900
	invlambda[83]	0.7007	0.02315	0.6533	0.7001	0.7475	4900
	invlambda[84]	0.02205	0.008006	1.658E-4	0.02059	0.04695	4900
	invlambda[85]	0.02043	0.007572	-7.978E-4	0.01902	0.04465	4900
	invlambda[86]	0.09533	0.02101	0.05757	0.09279	0.1432	4900
	invlambda[87]	0.02205	0.008006	1.658E-4	0.02059	0.04695	4900
	invlambda[88]	0.03494	0.01109	0.01085	0.03313	0.06417	4900
	invlambda[89]	0.06228	0.01627	0.02961	0.06001	0.101	4900
	invlambda[90]	0.0991	0.02147	0.06067	0.09656	0.1479	4900
	invlambda[91]	0.02205	0.008006	1.658E-4	0.02059	0.04695	4900
	invlambda[92]	0.103	0.02194	0.06372	0.1005	0.1526	4900
	invlambda[93]	0.02043	0.007572	-7.978E-4	0.01902	0.04465	4900
	invlambda[94]	0.04574	0.01332	0.01804	0.04374	0.07899	4900
	invlambda[95]	0.08822	0.02009	0.05219	0.08572	0.1342	4900
	invlambda[96]	0.2334	0.03165	0.1737	0.2309	0.3001	4900
	invlambda[97]	0.2334	0.03165	0.1737	0.2309	0.3001	4900
	invlambda[98]	0.6476	0.02614	0.5946	0.6468	0.7003	4900
	invlambda[99]	0.02381	0.008461	0.001652	0.02229	0.04891	4900
	invlambda[100]	0.02884	0.009701	0.004096	0.02716	0.05564	4900
	k	1.96	0.1389	1.698	1.959	2.232	4900
Deviance information
	Dbar	Dhat	DIC	pD	
y	333.4	331.5	335.3	1.917
total	333.4	331.5	335.3	1.917
History
